nhom,tieu_de,anh,noi_dung
3,💳Chuyển khoản Quân,img/CK-Quan.png,"Dạ cho em gửi thông tin chuyển khoản ạ
🏦Techcombank
💳19032119926025
👤HKD Harry Perfume"
3,💳Chuyển khoản Hà,img/CK-Ha.png,"Dạ cho em gửi thông tin chuyển khoản ạ
🏦Techcombank
💳1962717580
👤NGUYEN THI VAN HA"
3,ℹ️Xin thông tin Khách,,"Anh/Chị ưng mẫu này cho em xin:
+👤Tên người nhận
+📞Số điện thoại
+🏠Địa chỉ nhận hàng
Để em lên đơn cho mình ạ"
3,🧾Xác nhận Đơn Hàng - Việt,,"Cho em xác nhận lại đơn hàng ạ:
📦Sản phẩm: 
➊ 
➋ 
➌ 
➍ 
➎ 
➏ 
➐ 
➑ 
➒ 

🛵Phí ship: 
💵Tổng: 
💳Phương thức thanh toán: 
⏰Thời gian nhận hàng:
📝Ghi chú: 
➖➖➖➖➖➖➖➖
👤Tên: 
📞Số điện thoại: 
🏠Địa chỉ: 
➖➖➖➖➖➖➖➖
‼Lưu ý: Với đơn ship COD, mình *KHÔNG được bóc seal* trước khi thanh toán ạ, Harry Perfume xin cám ơn ^^
➖➖➖➖➖➖➖➖
🛡Chính sách bảo hành bên Harry Perfume ạ: https://harryperfume.vn/chinh-sach"
3,🧾Xác nhận Đơn Hàng - English,,"Harry Perfume confirm the order:
📦Product: 
➊ 
➋ 
➌ 
➍ 
➎ 
➏ 
➐ 
➑ 
➒ 

🛵Shipping fee: 
💵Price: 
💳Payment method: 
⏰Ship at: 12h - 15h 23/12/2025
📝Note: 
➖➖➖➖➖➖➖➖
👤Name: 
📞Phone No.: 
🏠Address: 
➖➖➖➖➖➖➖➖
‼Note: For COD orders, you cannot open the seal before payment. Thank you, Harry Perfume ^^
➖➖➖➖➖➖➖➖
🛡Guarranty policy at Harry Perfume: https://harryperfume.vn/chinh-sach"
5,👤Kết bạn Zalo,,Cửa hàng Harry Perfume xin chào! Tiệm thơm gửi lời mời kết bạn để cung cấp những Khuyến Mãi & Quà Tặng mà Harry Perfume đang triển khai ạ. Xin cảm ơn!
5,🎂Chúc Mừng Sinh Nhật,,"Kính gửi bạn!

Chúc mừng sinh nhật bạn ạ 💕 Chúc bạn tuổi mới nhiều sức khoẻ, hạnh phúc vs thành công hơn.  Cảm ơn bạn đã luôn tin tưởng và đồng hành với Tiệm trong thời gian qua.
Chúng tôi rất vui được chào đón bạn đến với Tiệm Nước Hoa Chiết Authentic của chúng tôi. Nhân dịp đặc biệt này, chúng tôi xin gửi đến bạn món quà nhỏ: một 🎫Phiếu Giảm Giá 5️⃣% cho lần mua sắm tiếp theo. Hy vọng bạn sẽ tìm thấy hương thơm yêu thích của mình để làm bừng sáng thêm ngày sinh nhật này! 🎂

Thân ái,
Harry Perfume"
5,🗺️Địa chỉ + Google Maps,,"Dạ mình cứ ghé Cửa hàng Harry Perfume từ 9g30 đến 21g30
📌 345/5B Trần Hưng Đạo, phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh để trải nghiệm trực tiếp sản phẩm ạ.
(Địa chỉ cũ: 345/5B Trần Hưng Đạo, phường Cầu Kho, Quận 1)
https://maps.app.goo.gl/zAL5JQsv2zTV6JnFA"
5,⭐Uy tín bán hàng,,"Bên shop mình chỉ bán hàng thật chính hãng có xuất bill, cam kết hoàn tiền và đền x3 nếu hàng giả. Website có đăng ký bộ công thương và đăng ký thuế Quận 1, TP.HCM ạ
➖➖➖➖➖➖➖➖
🛡Chính sách bảo hành bên Harry Perfume ạ: https://harryperfume.vn/chinh-sach"
5,🛡️Chính Sách Bảo Hành,,"- Cùng với cam kết bán hàng chính hãng, HarryPerfume.vn cam kết hoàn tiền và bồi thường nếu Khách Hàng chứng minh HarryPerfume.vn bán hàng giả.
- Sản phẩm nước hoa sẽ được bảo hành mùi hương trong vòng 10 ngày tại của hàng Harry Perfume.

Điều kiện bảo hành:
- Có hóa đơn bán hàng trong thời hạn 10 ngày tính từ ngày in trên phiếu.
- Sản phẩm còn nguyên vẹn không bể, nứt, trầy xước, không hao hụt quá 5% nước trong chai, không bị tác động can thiệp bên ngoài, sản phẩm còn tem chống giả, còn hộp nguyên vẹn không móp, rách, trầy xước.
- Khách hàng đã sử dụng và bảo quản đúng theo hướng dẫn.
- Sản phẩm là nước hoa có vòi xịt cố định trên chai.

🛡️https://harryperfume.vn/chinh-sach"
